Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65800304,116.341469,33.170731,1.707317,0.995117,0.067383,0.087402
1762435482298551,54.329269,22.987806,-4.085366,0.993652,0.072266,0.088867
1762435482308663,7.804878,4.817073,-6.524390,0.991699,0.075684,0.088867
1762435482318775,14.512196,8.902439,-8.048780,0.992188,0.077637,0.086914
1762435482328887,28.109756,6.707317,-4.817073,0.992676,0.080566,0.085938
1762435482338999,10.243902,8.353659,-2.073171,0.993164,0.084473,0.085938
1762435482349112,-30.670732,11.097561,-4.939024,0.993652,0.086426,0.085938
1762435482359224,-39.146343,13.780488,-1.402439,0.995117,0.087402,0.084961
1762435482369336,-11.951220,29.268293,5.609756,0.996094,0.087402,0.083984
1762435482379449,3.597561,43.475613,9.573171,0.995605,0.088379,0.083984
1762435482389561,-9.085366,36.341465,14.207317,0.995117,0.089844,0.085449
1762435482399673,-48.414635,29.695122,14.512196,0.994141,0.089844,0.086914
1762435482409786,-61.890244,41.829269,12.987805,0.993164,0.087402,0.088379
1762435482419898,-37.073174,40.304878,14.573171,0.992676,0.083496,0.090332
1762435482430010,-14.512196,27.743902,13.109756,0.991211,0.080566,0.095215
1762435482440122,-26.829269,16.646341,13.353659,0.990723,0.079590,0.101074
1762435482450235,-40.914635,4.329268,17.987804,0.990234,0.075684,0.105957
1762435482460347,-14.085366,-4.268293,16.097561,0.990723,0.070312,0.108887
1762435482470459,34.512196,6.829268,15.853659,0.991699,0.066895,0.109863
1762435482480572,51.402439,15.182927,20.975611,0.992188,0.065918,0.110840
1762435482490684,30.792685,10.060976,20.121952,0.991699,0.065918,0.111328
1762435482500796,28.597561,17.743902,23.292683,0.991699,0.064941,0.110352
1762435482510909,43.963417,18.841463,31.219513,0.992188,0.063965,0.108398
1762435482521021,107.865860,22.073172,38.109756,0.994629,0.065430,0.107910
1762435482531134,85.426834,30.000000,38.170734,0.994141,0.066895,0.109863
1762435482541246,68.719513,38.475609,36.219513,0.995117,0.068359,0.112305
1762435482551358,57.134148,24.695122,32.012196,0.994629,0.068359,0.115723
1762435482561470,55.121952,29.268293,32.134148,0.993164,0.069336,0.117676
1762435482571582,45.731709,23.719513,29.756098,0.990723,0.071777,0.120117
1762435482581695,14.329268,-4.634147,21.524391,0.989258,0.075684,0.121094
1762435482591807,-12.317074,-21.158537,20.731709,0.989746,0.078125,0.120117
1762435482601919,-21.158537,-13.109756,19.756098,0.990723,0.078613,0.117188
1762435482612032,-20.304878,-3.231707,12.743903,0.991211,0.079102,0.114258
1762435482622144,-31.341465,-0.975610,10.121951,0.990723,0.081055,0.113281
1762435482632257,-79.451218,2.134146,9.268293,0.990234,0.084473,0.111816
1762435482642370,-124.634148,-3.902439,6.097561,0.988770,0.085449,0.111328
1762435482652481,-127.500000,-12.865854,2.012195,0.987793,0.083496,0.110352
1762435482662593,-112.804878,-8.109756,-5.487805,0.988281,0.081055,0.111328
1762435482672706,-120.914635,-8.353659,-9.512196,0.989746,0.079102,0.113281
1762435482682818,-131.463425,-12.987805,-6.829268,0.990234,0.075684,0.115723
1762435482692930,-125.060982,-10.853659,-12.317074,0.989258,0.070801,0.117188
