Index,Ring_Width_Name,Ring_Width
0,A19,4.318
1,A18,4.7244
2,A17,5.1308
3,A16,5.5372
4,A15,5.9436
5,A14,6.35
6,A13,6.7564
7,A12,7.1628
8,A11,7.5692
9,A10,7.9756
10,A9,8.382
11,A8,8.7884
12,A7,9.1948
13,A6,9.6012
14,A5,10.0076
15,A4,10.414
16,A3,10.8204
17,A2,11.2268
18,A1,11.6332
19,A,12.0396
20,B,12.446
21,C,12.8524
22,D,13.2588
23,E,13.6652
24,F,14.0716
25,G,14.478
26,H,14.8844
27,I,15.2908
28,J,15.494
29,K,15.9004
30,L,16.3068
31,M,16.7132
32,N,17.1196
33,O,17.526
34,P,17.9324
35,Q,18.3388
36,R,18.7452
37,S,19.1516
38,T,19.558
39,U,19.9644
40,V,20.3708
41,W,20.7772
42,X,21.1836
43,Y,21.59
44,Z,21.7932
45,Z1,22.1996
46,Z2,22.606
47,Z3,23.0124
48,Z4,23.4188
49,Z5,23.8252
50,Z6,24.2316
51,Z7,24.638
52,Z8,25.0444
53,Z9,25.4508
54,Z10,25.8572
55,Z11,26.2636
56,Z12,26.67
57,Z13,27.0764
58,Z14,27.4828
59,Z15,27.8892
60,Z16,28.2956
61,Z17,28.702
62,Z18,29.1084
63,Z19,29.5148
